Wind Load Type,Glass Type,Glass sub-type 1,Nominal Thickness (mm),Support Condition,AR,k1,k2,k3,k4
ULS,Monolithic,Toughened,4,4-edge,1.75,3374.9,0.713136,-0.7112,-17.1
ULS,Monolithic,Toughened,4,4-edge,2,3634.8,0.950848,-0.7642,-15.2
ULS,Monolithic,Toughened,4,4-edge,2.5,3012.9,0.713136,-0.7255,3.8
ULS,Monolithic,Toughened,4,4-edge,3,1382.5,-0.1,-0.4881,-11.4
ULS,Monolithic,Toughened,4,4-edge,5,1372.1,0,-0.5,0
ULS,Monolithic,Toughened,4,2-edge,Independent,1225.3,0,-0.5,0
ULS,Monolithic,Toughened,5,4-edge,1,4429.2,0.57078,-0.6124,7.2
ULS,Monolithic,Toughened,5,4-edge,1.25,3885.9,0.456624,-0.6071,-2.4
ULS,Monolithic,Toughened,5,4-edge,1.5,3826.2,0.456624,-0.6423,-38.88
ULS,Monolithic,Toughened,5,4-edge,1.75,4142.5,0.684935,-0.7112,-21.6
ULS,Monolithic,Toughened,5,4-edge,2,4452,0.913247,-0.7642,-19.2
ULS,Monolithic,Toughened,5,4-edge,2.5,3696,0.684935,-0.7255,4.8
ULS,Monolithic,Toughened,5,4-edge,3,1712.3,-0.1,-0.4881,-14.4
ULS,Monolithic,Toughened,5,4-edge,5,1698.5,0,-0.5,0
ULS,Monolithic,Toughened,5,2-edge,Independent,1516.8,0,-0.5,0
ULS,Monolithic,Toughened,6,4-edge,1,5241.9,0.551743,-0.6124,8.7
ULS,Monolithic,Toughened,6,4-edge,1.25,4599.7,0.441394,-0.6071,-2.9
ULS,Monolithic,Toughened,6,4-edge,1.5,4523.7,0.441394,-0.6423,-46.98
ULS,Monolithic,Toughened,6,4-edge,1.75,4886.2,0.662091,-0.7112,-26.1
ULS,Monolithic,Toughened,6,4-edge,2,5241.8,0.882788,-0.7642,-23.2
ULS,Monolithic,Toughened,6,4-edge,2.5,4357.5,0.662091,-0.7255,5.8
ULS,Monolithic,Toughened,6,4-edge,3,2035.1,-0.1,-0.4881,-17.4
ULS,Monolithic,Toughened,6,4-edge,5,2017.9,0,-0.5,0
ULS,Monolithic,Toughened,6,2-edge,Independent,1801.9,0,-0.5,0
ULS,Monolithic,Toughened,8,4-edge,1,6736.6,0.523238,-0.6124,11.55
ULS,Monolithic,Toughened,8,4-edge,1.25,5913,0.41859,-0.6071,-3.85
ULS,Monolithic,Toughened,8,4-edge,1.5,5804.5,0.41859,-0.6423,-62.37
ULS,Monolithic,Toughened,8,4-edge,1.75,6246.7,0.627885,-0.7112,-34.65
ULS,Monolithic,Toughened,8,4-edge,2,6682.5,0.83718,-0.7642,-30.8
ULS,Monolithic,Toughened,8,4-edge,2.5,5566.5,0.627885,-0.7255,7.7
ULS,Monolithic,Toughened,8,4-edge,3,2632.7,-0.1,-0.4881,-23.1
ULS,Monolithic,Toughened,8,4-edge,5,2608.8,0,-0.5,0
ULS,Monolithic,Toughened,8,2-edge,Independent,2329.6,0,-0.5,0
